2012-12-29 18-46-07   接收文件大小为:1477288
2012-12-29 18-46-08   文件位置：1048576
2012-12-29 18-46-08   文件大小：1477288写入文件大小：1048576剩余大小：0
2012-12-29 18-50-59   接收文件大小为:1724411
2012-12-29 18-50-59   文件位置：1048576
2012-12-29 18-51-00   文件大小：1724411写入文件大小：1048576剩余大小：0
2012-12-29 19-01-46   接收文件大小为:1137464
2012-12-29 19-01-46   文件位置：1048576
2012-12-29 19-01-46   文件大小：1137464写入文件大小：1048576剩余大小：0
2012-12-29 19-05-32   接收文件大小为:1725146
2012-12-29 19-05-32   文件位置：1048576
2012-12-29 19-05-32   文件大小：1725146写入文件大小：1048576剩余大小：0
